竞买号,总竞价次数,初始竞价价格,最高竞价价格,每次竞价相对最近一次出价的时间差的平均值(秒),每次竞价相对自己最近一次出价的时间差的平均值(秒),每次竞价相对最近一次出价的金额差的平均值,每次竞价相对自己最近一次出价的金额差的平均值,每次竞价相对最近一次出价的金额差与最近一次出价的百分比的平均值,每次竞价相对自己最近一次出价的金额差与总金额的百分比平均值,震慑性加价次数(>3%)
P2720,11,7772351.04,8532351.04,257.2,287.222222,37999.999999999905,75999.9999999999,0.4686454499962302,0.9327870990327136,0
L8896,8,7734351.04,8494351.04,19.142857,435.833333,38000.0,113999.99999999984,0.46613028001221624,1.396599539946089,0
L2788,3,7810351.04,7962351.04,65.333333,168.0,38000.0,76000.0,0.4841894896825456,0.9636903000452792,0
