竞买号,总竞价次数,初始竞价价格,最高竞价价格,每次竞价相对最近一次出价的时间差的平均值(秒),每次竞价相对自己最近一次出价的时间差的平均值(秒),每次竞价相对最近一次出价的金额差的平均值,每次竞价相对自己最近一次出价的金额差的平均值,每次竞价相对最近一次出价的金额差与最近一次出价的百分比的平均值,每次竞价相对自己最近一次出价的金额差与总金额的百分比平均值,震慑性加价次数(>3%)
R9800,19,1492173.09,1872173.09,91.526315,259.411764,8947.368421052632,21764.70588235294,0.5719305855007328,1.2881559299536756,0
P8026,18,1497173.09,1867173.09,76.055555,258.3125,5000.0,22500.0,0.28463877421009126,1.3101623412294923,0
T0254,11,1482173.09,1842173.09,239.727272,493.555555,5000.0,38888.88888888889,0.29420979303628697,2.265207493045457,0
O5409,5,1772173.09,1812173.09,85.6,96.0,5000.0,10000.0,0.27978239604735233,0.5579934005668942,0
Y2599,5,1542173.09,1652173.09,68.0,105.666666,5000.0,26666.666666666668,0.3161473610888378,1.6699303555183673,0
D4491,6,1467173.09,1647173.09,508.0,1291.0,7000.0,42500.0,0.4601173365620922,2.6410182884678277,0
D9480,1,1472173.09,1472173.09,,,,,,,0
