竞买号,总竞价次数,初始竞价价格,最高竞价价格,每次竞价相对最近一次出价的时间差的平均值(秒),每次竞价相对自己最近一次出价的时间差的平均值(秒),每次竞价相对最近一次出价的金额差的平均值,每次竞价相对自己最近一次出价的金额差的平均值,每次竞价相对最近一次出价的金额差与最近一次出价的百分比的平均值,每次竞价相对自己最近一次出价的金额差与总金额的百分比平均值,震慑性加价次数(>3%)
M5570,6,3713043.12,4035043.12,263.6,630.25,14000.0,73500.0,0.36479033019862656,1.8669422180642854,0
W1528,3,3797043.12,4021043.12,99.0,643.0,14000.0,154000.0,0.3615223800588371,3.8977048673667727,0
C9882,8,3755043.12,3993043.12,59.625,160.0,14000.0,35000.0,0.36139203333161724,0.9019752383370451,0
V4437,7,3727043.12,3923043.12,120.166666,223.2,14000.0,33600.0,0.3665329911601937,0.8774549966645694,0
