竞买号,总竞价次数,初始竞价价格,最高竞价价格,每次竞价相对最近一次出价的时间差的平均值(秒),每次竞价相对自己最近一次出价的时间差的平均值(秒),每次竞价相对最近一次出价的金额差的平均值,每次竞价相对自己最近一次出价的金额差的平均值,每次竞价相对最近一次出价的金额差与最近一次出价的百分比的平均值,每次竞价相对自己最近一次出价的金额差与总金额的百分比平均值,震慑性加价次数(>3%)
H2515,9,3053817.56,3613817.56,73.0,160.428571,14000.0,74000.0,0.42936260692305644,2.2017497583084236,0
E4004,8,3319817.56,3599817.56,57.25,82.0,19250.0,37333.333333333336,0.582740601494825,1.081375554921346,0
I3350,12,2983817.56,3585817.56,3875.666666,3143.7,14000.0,57400.0,0.4353126493628569,1.736698310742645,0
W9932,6,2969817.56,3529817.56,31.2,14499.5,16800.0,94500.0,0.5226406172537638,2.929697190723944,0
D0622,8,2997817.56,3291817.56,3395.875,85.333333,14000.0,35000.0,0.4518778552285019,1.1215302169920245,0
V5938,1,2955817.56,2955817.56,,,,,,,0
